id	chr	start	end	strand	length	tr.name	tr.strand
L2_level1_chr7_-_71534731	chr7	71534356	71535024	-	668	Mphosph10	-
L2_level1_chr8_+_108535396	chr8	108535344	108535453	+	109	Ddx28	-
L2_level1_chr11_-_3371522	chr11	3371505	3371541	-	36	8430429K09Rik	+
L2_level1_chr5_+_36236007	chr5	36235948	36236185	+	237	Afap1	+
L2_level1_chr8_-_26269510	chr8	26268549	26269857	-	1308	Tacc1	-
L2_level1_chr18_+_59349749	chr18	59349736	59350144	+	408	Chsy3	+
L2_level1_chrX_+_159004731	chrX	159004730	159004777	+	47	Reps2	-
L2_level1_chr9_-_28816877	chr9	28816727	28816999	-	272	Ntm	-
L2_level1_chr6_+_114251999	chr6	114251839	114252182	+	343	Slc6a1	+
L2_level1_chr10_+_19868793	chr10	19868721	19868855	+	134	Mtap7	+
L2_level1_chr6_+_86894431	chr6	86894264	86894455	+	191	Aak1	+
L2_level1_chr1_-_69034071	chr1	69033718	69035046	-	1328	Erbb4	-
L2_level1_chr5_+_32783115	chr5	32783046	32783304	+	258	Ppp1cb	+
L2_level1_chr10_+_114590382	chr10	114590382	114590383	+	1	Tph2	-
L2_level1_chr2_-_35037668	chr2	35036922	35037678	-	756	Rab14	-
L2_level1_chr2_-_71369840	chr2	71369382	71370176	-	794	Dlx1	+
L2_level1_chr6_-_6774353	chr6	6773345	6774587	-	1242	Dlx6os1	-
L2_level1_chr18_+_37119937	chr18	37119857	37120204	+	347	Pcdha4	+
L2_level1_chr12_+_41203205	chr12	41202316	41203233	+	917	Dock4	+
L2_level1_chr12_+_85792445	chr12	85792410	85792487	+	77	Lin52	+
L2_level1_chr10_+_111745131	chr10	111745104	111745944	+	840	Kcnc2	+
L2_level1_chr18_+_35770636	chr18	35770506	35770658	+	152	Paip2	+
L2_level1_chr6_-_125112027	chr6	125112013	125112044	-	31	Gapdh	-
L2_level1_chr3_+_88128971	chr3	88128936	88129019	+	83	0610031J06Rik	+
L2_level1_chr12_-_32184423	chr12	32184372	32184498	-	126	Cbll1	-
L2_level1_chr6_+_49290132	chr6	49289875	49290168	+	293	Ccdc126	+
L2_level1_chr4_-_108829328	chr4	108828890	108829730	-	840	Osbpl9	-
L2_level1_chr14_-_103690261	chr14	103690230	103690380	-	150	Mycbp2	-
L2_level1_chr18_+_7910546	chr18	7910475	7910806	+	331	Wac	+
L2_level1_chr1_+_174012948	chr1	174012876	174013054	+	178	Ncstn	-
L2_level1_chr10_+_59165336	chr10	59165280	59165453	+	173	Cbara1	+
L2_level1_chr3_+_34548908	chr3	34548868	34549111	+	243	Sox2ot	+
L2_level1_chr3_+_75441892	chr3	75441797	75441908	+	111	Serpini1	+
L2_level1_chr1_+_87961224	chr1	87961165	87961352	+	187	Psmd1	+
L2_level1_chr3_-_96709247	chr3	96709152	96709274	-	122	Gpr89	-
L2_level1_chr10_-_33671023	chr10	33670968	33671095	-	127	Zufsp	-
L2_level1_chr3_-_55813206	chr3	55813153	55813287	-	134	Nbea	-
L2_level1_chr2_+_103935968	chr2	103935938	103936022	+	84	Cd59a	+
L2_level1_chr6_+_52671318	chr6	52671267	52671450	+	183	Tax1bp1	+
L2_level1_chr1_-_21885438	chr1	21884360	21885500	-	1140	Kcnq5	-
L2_level1_chr11_+_57102817	chr11	57102688	57102976	+	288	Gria1	+
L2_level1_chr17_-_47639240	chr17	47639202	47639263	-	61	Taf8	-
L2_level1_chr2_+_71367869	chr2	71367809	71367916	+	107	Dlx1	+
L2_level1_chr7_+_129776616	chr7	129776322	129776728	+	406	Prkcb	+
L2_level1_chr18_+_78017331	chr18	78017178	78017346	+	168	Atp5a1	+
L2_level1_chr11_-_30009905	chr11	30009901	30010014	-	113	Spnb2	-
L2_level1_chr2_+_29821186	chr2	29821097	29821275	+	178	Spna2	+
L2_level1_chr17_+_23958061	chr17	23957621	23958667	+	1046	Srrm2	+
L2_level1_chr2_+_69570904	chr2	69570818	69571065	+	247	Ppig	+
L2_level1_chr16_-_4179578	chr16	4179440	4180034	-	594	Crebbp	-
L2_level1_chr3_+_36050002	chr3	36049898	36050098	+	200	D3Ertd254e	+
L2_level1_chrX_-_102994254	chrX	102993756	102994256	-	500	Atrx	-
L2_level1_chr8_-_26951253	chr8	26951080	26951277	-	197	Ash2l	-
L2_level1_chr11_-_5703726	chr11	5703693	5703805	-	112	Pgam2	-
L2_level1_chr10_-_77901677	chr10	77900805	77901815	-	1010	Pdxk	-
L2_level1_chr16_-_90960575	chr16	90960515	90960731	-	216	Synj1	-
L2_level1_chr9_-_75236548	chr9	75236512	75236981	-	469	Mapk6	-
L2_level1_chr17_-_45707643	chr17	45707631	45708232	-	601	Hsp90ab1	-
L2_level1_chr3_+_87723619	chr3	87723535	87723665	+	130	Mrpl24	+
L2_level1_chr11_+_68904301	chr11	68904130	68904800	+	670	Vamp2	+
L2_level1_chr2_+_162843210	chr2	162843143	162843263	+	120	Ift52	+
L2_level1_chr7_+_54101202	chr7	54101136	54101252	+	116	Ldha	+
L2_level1_chr11_+_105634743	chr11	105634715	105634753	+	38	Tanc2	+
L2_level1_chr7_-_82261055	chr7	82260754	82261114	-	360	Sv2b	-
L2_level1_chr6_-_113792312	chr6	113792152	113792649	-	497	Atp2b2	-
L2_level1_chr8_+_41442216	chr8	41442002	41442271	+	269	Efha2	+
L2_level1_chr15_+_81780339	chr15	81779748	81781268	+	1520	Csdc2	+
L2_level1_chr6_+_83661865	chr6	83661864	83661872	+	8	Vax2os2	-
L2_level1_chr10_+_127921151	chr10	127921115	127921245	+	130	Smarcc2	+
L2_level1_chr8_-_60255410	chr8	60254977	60256155	-	1178	Galntl6	-
L2_level1_chrX_+_131139671	chrX	131139363	131140928	+	1565	Hnrnph2	+
L2_level1_chr7_+_134005485	chr7	134005401	134005529	+	128	Hirip3	+
L2_level1_chr3_+_102859383	chr3	102859259	102859400	+	141	Csde1	+
L2_level1_chrX_+_39030190	chrX	39029905	39030803	+	898	Gria3	+
L2_level1_chr11_+_70376485	chr11	70376451	70376619	+	168	Mink1	+
L2_level1_chr9_+_26807284	chr9	26807216	26807384	+	168	Thyn1	+
L2_level1_chr3_-_14802637	chr3	14802593	14802647	-	54	Car1	-
L2_level1_chr13_+_54627328	chr13	54626578	54627697	+	1119	4732471D19Rik	+
L2_level1_chr11_-_84684270	chr11	84684132	84684315	-	183	Ggnbp2	-
L2_level1_chr9_+_37323228	chr9	37322369	37323372	+	1003	BC024479	+
L2_level1_chr12_-_29435276	chr12	29435182	29435375	-	193	Ttc15	-
L2_level1_chr16_-_74352897	chr16	74352824	74353168	-	344	Robo2	-
L2_level1_chr10_+_98465906	chr10	98465755	98466006	+	251	Atp2b1	+
L2_level1_chr11_+_51931513	chr11	51931446	51931648	+	202	Ppp2ca	+
L2_level1_chr1_-_164612532	chr1	164612476	164612663	-	187	Prrc2c	-
L2_level1_chr10_+_90292575	chr10	90292513	90292677	+	164	Anks1b	+
L2_level1_chr2_+_83693667	chr2	83693508	83693743	+	235	Fam171b	+
L2_level1_chr4_-_81938742	chr4	81938609	81939171	-	562	Nfib	-
L2_level1_chr3_-_95686132	chr3	95686055	95686198	-	143	Gm129	-
L2_level1_chr1_+_34226124	chr1	34225994	34226135	+	141	Dst	+
L2_level1_chr11_+_42411130	chr11	42411021	42411260	+	239	Gabrb2	+
L2_level1_chr5_-_37087174	chr5	37087121	37087253	-	132	D5Ertd579e	-
L2_level1_chr18_+_13132929	chr18	13132852	13133132	+	280	Impact	+
L2_level1_chr4_-_12098190	chr4	12098076	12098389	-	313	Fam92a	-
L2_level1_chr16_+_36916145	chr16	36915828	36916165	+	337	Golgb1	+
L2_level1_chr6_+_45336046	chr6	45336046	45336596	+	550	Cntnap2	+
L2_level1_chr19_+_8898912	chr19	8898861	8898976	+	115	Hnrnpul2	+
L2_level1_chr8_-_16856294	chr8	16855634	16856607	-	973	Csmd1	-
L2_level1_chr4_-_123150399	chr4	123150394	123150537	-	143	Macf1	-
L2_level1_chr13_-_44965020	chr13	44964970	44965162	-	192	Jarid2	+
L2_level1_chr1_-_94913829	chr1	94912553	94915096	-	2543	Kif1a	-
L2_level1_chr11_-_116197807	chr11	116197736	116197850	-	114	Rnf157	-
L2_level1_chr9_-_87150129	chr9	87150099	87150208	-	109	4922501C03Rik	-
L2_level1_chr8_-_85298033	chr8	85297963	85298103	-	140	Zfp330	-
L2_level1_chr16_+_6174444	chr16	6174370	6174846	+	476	Rbfox1	+
L2_level1_chr11_-_41729957	chr11	41729815	41730036	-	221	Gabrg2	-
L2_level1_chr7_-_146037939	chr7	146037796	146038004	-	208	Mapk1ip1	-
L2_level1_chr4_-_15872556	chr4	15872507	15872580	-	73	Decr1	-
L2_level1_chr2_-_44840209	chr2	44839639	44841710	-	2071	Zeb2	-
L2_level1_chr8_-_74176266	chr8	74176158	74176316	-	158	Unc13a	-
L2_level1_chr6_-_135993952	chr6	135993869	135994347	-	478	Grin2b	-
L2_level1_chr3_+_27141567	chr3	27140803	27142206	+	1403	Nceh1	+
L2_level1_chr9_+_75289344	chr9	75289247	75289415	+	168	Leo1	+
L2_level1_chr2_-_93998055	chr2	93997889	93998190	-	301	Hsd17b12	-
L2_level1_chr8_+_24249566	chr8	24249305	24249934	+	629	Ank1	+
L2_level1_chr6_-_122692541	chr6	122692400	122692833	-	433	Slc2a3	-
L2_level1_chr5_-_103340106	chr5	103339504	103340151	-	647	Mapk10	-
L2_level1_chr5_+_148681019	chr5	148680976	148681069	+	93	Pomp	+
L2_level1_chr18_+_35758888	chr18	35758786	35758936	+	150	Paip2	+
L2_level1_chr15_-_74579366	chr15	74579072	74580301	-	1229	Lynx1	-
L2_level1_chr2_-_156754053	chr2	156753341	156754131	-	790	Ndrg3	-
L2_level1_chrX_-_100676905	chrX	100676566	100677788	-	1222	Xist	-
L2_level1_chr11_-_30017976	chr11	30017655	30018029	-	374	Spnb2	-
L2_level1_chr17_-_45686325	chr17	45686261	45686341	-	80	Tmem151b	-
L2_level1_chr7_-_25786000	chr7	25785961	25786028	-	67	Atp1a3	-
L2_level1_chr18_+_65235691	chr18	65235608	65235776	+	168	Nedd4l	+
L2_level1_chr1_+_153196494	chr1	153196455	153196726	+	271	Ivns1abp	+
L2_level1_chr3_-_80536043	chr3	80535965	80536219	-	254	Gria2	-
L2_level1_chr14_-_122364330	chr14	122364312	122364367	-	55	Ubac2	+
L2_level1_chr9_+_40611482	chr9	40611309	40611580	+	271	Hspa8	+
L2_level1_chr13_-_38086044	chr13	38085895	38086120	-	225	Ssr1	-
L2_level1_chr11_-_100324115	chr11	100323028	100324401	-	1373	Klhl11	-
L2_level1_chr11_+_69219852	chr11	69219849	69219855	+	6	Kdm6b	-
L2_level1_chr8_+_14839703	chr8	14839522	14839779	+	257	Dlgap2	+
L2_level1_chr7_-_118220282	chr7	118220226	118220390	-	164	Eif4g2	-
L2_level1_chr1_+_133831138	chr1	133831013	133831425	+	412	Nucks1	+
L2_level1_chr12_-_8681321	chr12	8681319	8681324	-	5	Pum2	+
L2_level1_chr15_+_100701104	chr15	100700972	100701146	+	174	Scn8a	+
L2_level1_chr13_+_83764764	chr13	83764575	83764884	+	309	Mef2c	+
L2_level1_chr11_-_36550386	chr11	36549572	36550936	-	1364	Odz2	-
L2_level1_chr8_+_128918758	chr8	128918318	128919035	+	717	Slc35f3	+
L2_level1_chr15_-_48623540	chr15	48623384	48623662	-	278	Csmd3	-
L2_level1_chr1_-_65225665	chr1	65225590	65225745	-	155	Idh1	-
L2_level1_chr7_+_6683302	chr7	6683238	6683957	+	719	Usp29	+
L2_level1_chr5_+_31351027	chr5	31350948	31351127	+	179	0610007C21Rik	+
L2_level1_chr17_-_66426414	chr17	66426257	66426480	-	223	Ankrd12	-
L2_level1_chr14_+_13116719	chr14	13116662	13116831	+	169	3830406C13Rik	+
L2_level1_chr2_-_134446361	chr2	134446307	134446442	-	135	Tmx4	-
L2_level1_chrX_-_132749104	chrX	132748625	132749135	-	510	Bex1	-
L2_level1_chr11_+_57104461	chr11	57103310	57104464	+	1154	Gria1	+
L2_level1_chr8_+_68141928	chr8	68141792	68142025	+	233	March1	+
L2_level1_chr6_+_52663746	chr6	52663673	52663856	+	183	Tax1bp1	+
L2_level1_chr6_+_45088362	chr6	45088328	45088635	+	307	Cntnap2	+
L2_level1_chr6_+_143129105	chr6	143129093	143129419	+	326	Etnk1	+
L2_level1_chr14_-_51427447	chr14	51427153	51427481	-	328	Rpph1	-
L2_level1_chr9_-_116487180	chr9	116486902	116487363	-	461	Rbms3	-
L2_level1_chr11_-_96681493	chr11	96681321	96681787	-	466	Nfe2l1	-
L2_level1_chr8_+_59934800	chr8	59934770	59934878	+	108	Scrg1	+
L2_level1_chr6_-_18464765	chr6	18464677	18464916	-	239	Cttnbp2	-
L2_level1_chr1_+_34220928	chr1	34220877	34221090	+	213	Dst	+
L2_level1_chr7_+_98684430	chr7	98684346	98684878	+	532	Dlg2	+
L2_level1_chr7_+_27980885	chr7	27980776	27980986	+	210	BC024978	+
L2_level1_chr11_-_62203261	chr11	62203208	62203302	-	94	Ncor1	-
L2_level1_chr9_-_75414396	chr9	75413719	75415058	-	1339	Tmod2	-
L2_level1_chr11_+_59571285	chr11	59571001	59571552	+	551	Mprip	+
L2_level1_chr8_-_67098327	chr8	67098171	67098364	-	193	Cpe	-
L2_level1_chr4_+_122693829	chr4	122693773	122694083	+	310	Trit1	+
L2_level1_chr9_+_51873777	chr9	51873738	51873998	+	260	Rdx	+
L2_level1_chr2_+_29863411	chr2	29863332	29863492	+	160	Spna2	+
L2_level1_chr1_-_68898831	chr1	68898812	68899097	-	285	Erbb4	-
L2_level1_chr8_+_63472409	chr8	63472230	63472543	+	313	Nek1	+
L2_level1_chr12_+_16981679	chr12	16981590	16981699	+	109	Rock2	+
L2_level1_chr16_+_42144084	chr16	42143980	42144190	+	210	Lsamp	+
L2_level1_chr7_-_118221604	chr7	118221563	118221713	-	150	Eif4g2	-
L2_level1_chr5_+_34197302	chr5	34197240	34197405	+	165	Whsc1	+
L2_level1_chr5_+_22970718	chr5	22970507	22970722	+	215	Mll5	+
L2_level1_chr9_-_28986634	chr9	28986630	28986850	-	220	Ntm	-
L2_level1_chr8_-_110106373	chr8	110106302	110106413	-	111	Psmd7	-
L2_level1_chrX_+_12869432	chrX	12868525	12869891	+	1366	Ddx3x	+
L2_level1_chr19_-_45848257	chr19	45848168	45848305	-	137	Mgea5	-
L2_level1_chr3_-_105762175	chr3	105761941	105762267	-	326	Atp5f1	-
L2_level1_chr1_-_25812973	chr1	25812932	25813239	-	307	Bai3	-
L2_level1_chr3_-_80513411	chr3	80513305	80513442	-	137	Gria2	-
L2_level1_chr18_+_37979194	chr18	37979140	37979361	+	221	Pcdhgb8	+
L2_level1_chr16_+_20679829	chr16	20679262	20680071	+	809	Eif4g1	+
L2_level1_chr1_-_179726633	chr1	179726248	179726691	-	443	Adss	-
L2_level1_chr2_+_37298799	chr2	37298746	37298945	+	199	Rabgap1	+
L2_level1_chr14_-_40215600	chr14	40215046	40215657	-	611	Nrg3	-
L2_level1_chr17_+_7229906	chr17	7229808	7230021	+	213	Gm1604b	+
L2_level1_chr16_-_28304112	chr16	28304105	28304353	-	248	Fgf12	-
L2_level1_chr9_+_77765177	chr9	77765157	77765284	+	127	Elovl5	+
L2_level1_chr2_+_29882233	chr2	29882000	29882308	+	308	Spna2	+
L2_level1_chr1_+_148344803	chr1	148344516	148344859	+	343	Fam5c	+
L2_level1_chr6_-_83075128	chr6	83075003	83075228	-	225	Ino80b	-
L2_level1_chr6_+_124884598	chr6	124884588	124884741	+	153	Mlf2	+
L2_level1_chr11_-_53102604	chr11	53102540	53102687	-	147	Hspa4	-
L2_level1_chr13_-_25001427	chr13	25001231	25001707	-	476	Aldh5a1	-
L2_level1_chr5_-_135115198	chr5	135115130	135115330	-	200	Eif4h	-
L2_level1_chr5_+_138705288	chr5	138705254	138705350	+	96	BC037034	-
L2_level1_chr14_-_39694536	chr14	39694227	39695023	-	796	Nrg3	-
L2_level1_chr9_+_20385956	chr9	20385813	20386072	+	259	Zfp846	+
L2_level1_chr17_-_85463701	chr17	85461931	85464088	-	2157	Slc3a1	+
L2_level1_chr3_-_135188572	chr3	135188391	135188888	-	497	Manba	+
L2_level1_chr11_-_69414520	chr11	69413483	69414786	-	1303	Atp1b2	-
L2_level1_chr7_-_6674032	chr7	6673986	6674933	-	947	Peg3	-
L2_level1_chr4_-_25545990	chr4	25541910	25547365	-	5455	Fut9	-
L2_level1_chr19_+_8972595	chr19	8972559	8972624	+	65	Ganab	+
L2_level1_chr10_+_87396110	chr10	87395541	87396426	+	885	Igf1	+
L2_level1_chr6_+_45140872	chr6	45140619	45141076	+	457	Cntnap2	+
L2_level1_chr19_-_56887653	chr19	56887442	56888215	-	773	A630007B06Rik	-
L2_level1_chr14_+_17228181	chr14	17228084	17228221	+	137	Top2b	+
L2_level1_chr2_-_144298495	chr2	144298355	144298917	-	562	6330439K17Rik	-
L2_level1_chr11_+_86980146	chr11	86980091	86980159	+	68	Trim37	+
L2_level1_chrX_-_101155942	chrX	101154628	101156632	-	2004	Rlim	-
L2_level1_chr15_+_92081351	chr15	92081266	92081401	+	135	Cntn1	+
L2_level1_chr9_-_59201257	chr9	59201239	59201300	-	61	Bbs4	-
L2_level1_chr13_+_118770123	chr13	118769611	118770808	+	1197	Hcn1	+
L2_level1_chr19_+_4756591	chr19	4756476	4756694	+	218	Rbm4b	+
L2_level1_chr7_+_104520122	chr7	104520094	104520198	+	104	Alg8	+
L2_level1_chr2_+_178018627	chr2	178018539	178018782	+	243	Phactr3	+
L2_level1_chr4_-_45421625	chr4	45421589	45421659	-	70	Mcart1	-
L2_level1_chr5_-_92511886	chr5	92511790	92512030	-	240	G3bp2	-
L2_level1_chr18_+_13130793	chr18	13130683	13130852	+	169	Impact	+
L2_level1_chr6_-_83139232	chr6	83139214	83139253	-	39	Dctn1	+
L2_level1_chr11_+_22872026	chr11	22871922	22872839	+	917	Commd1	-
L2_level1_chr5_-_104516070	chr5	104516056	104516188	-	132	Sparcl1	-
L2_level1_chr3_+_124025279	chr3	124025101	124025686	+	585	Tram1l1	+
L2_level1_chr19_+_53319700	chr19	53319480	53319826	+	346	Add3	+
L2_level1_chr11_-_68905004	chr11	68904944	68905045	-	101	Vamp2	+
L2_level1_chr8_+_109891674	chr8	109890936	109891780	+	844	Nfat5	+
L2_level1_chr2_+_153117168	chr2	153117125	153117207	+	82	Kif3b	+
L2_level1_chr14_-_37946429	chr14	37946370	37946467	-	97	Ghitm	-
L2_level1_chr10_+_79173610	chr10	79173370	79173638	+	268	Bsg	+
L2_level1_chr2_-_104267577	chr2	104266710	104267638	-	928	Hipk3	-
L2_level1_chr11_-_30119737	chr11	30119584	30119784	-	200	Spnb2	-
L2_level1_chr13_+_8448872	chr13	8448072	8448966	+	894	Adarb2	+
L2_level1_chr12_-_67731163	chr12	67730907	67731195	-	288	Mdga2	-
L2_level1_chr10_+_110928076	chr10	110928055	110928158	+	103	Nap1l1	+
L2_level1_chr8_+_41631770	chr8	41631587	41632047	+	460	Vps37a	+
L2_level1_chr6_-_88791885	chr6	88791830	88792034	-	204	Abtb1	-
L2_level1_chr17_+_23952714	chr17	23952092	23952724	+	632	Srrm2	+
L2_level1_chr3_-_55833838	chr3	55833818	55834006	-	188	Nbea	-
L2_level1_chr17_-_36053334	chr17	36053255	36053385	-	130	Mrps18b	-
L2_level1_chr7_+_106484617	chr7	106484481	106484866	+	385	Mtap6	+
L2_level1_chr19_+_46764417	chr19	46764375	46764556	+	181	2010012O05Rik	+
L2_level1_chr7_+_52965260	chr7	52965018	52965483	+	465	Dbp	+
L2_level1_chr12_-_56863657	chr12	56863559	56863734	-	175	Ralgapa1	-
L2_level1_chr1_+_34275225	chr1	34275167	34275428	+	261	Dst	+
L2_level1_chr12_-_76552243	chr12	76552057	76552577	-	520	Ppp2r5e	-
L2_level1_chrX_-_100671442	chrX	100670500	100671966	-	1466	Xist	-
L2_level1_chr18_-_12925371	chr18	12925327	12925507	-	180	Osbpl1a	-
L2_level1_chr2_-_132403947	chr2	132403832	132404010	-	178	Gpcpd1	-
L2_level1_chr12_+_110803256	chr12	110802655	110803296	+	641	Meg3	+
L2_level1_chr11_-_65601761	chr11	65601660	65601837	-	177	Map2k4	-
L2_level1_chr4_+_137739037	chr4	137739009	137739259	+	250	Eif4g3	+
L2_level1_chr12_-_56181076	chr12	56181059	56181160	-	101	2700097O09Rik	-
L2_level1_chr12_+_84992232	chr12	84992222	84992438	+	216	Rbm25	+
L2_level1_chr11_+_42444251	chr11	42440033	42445946	+	5913	Gabrb2	+
L2_level1_chr17_-_66373546	chr17	66373438	66373575	-	137	Ankrd12	-
L2_level1_chr16_+_13813637	chr16	13813405	13813907	+	502	Rrn3	+
L2_level1_chr7_+_58877888	chr7	58877675	58878036	+	361	Slc17a6	+
L2_level1_chrX_+_78339815	chrX	78339747	78340021	+	274	Tmem47	+
L2_level1_chr6_+_45379645	chr6	45379147	45379662	+	515	Cntnap2	+
L2_level1_chr3_-_151856734	chr3	151856345	151856922	-	577	Dnajb4	-
L2_level1_chr5_-_90768806	chr5	90768628	90768860	-	232	Ankrd17	-
L2_level1_chr10_+_4978798	chr10	4978524	4979023	+	499	Syne1	+
L2_level1_chr1_-_69140403	chr1	69138825	69140659	-	1834	Erbb4	-
L2_level1_chr15_-_66061215	chr15	66060816	66061257	-	441	Kcnq3	-
L2_level1_chr5_-_149317259	chr5	149316412	149317338	-	926	Ubl3	-
L2_level1_chr19_-_40588252	chr19	40587963	40588390	-	427	Sorbs1	-
L2_level1_chr6_+_45098826	chr6	45098731	45099091	+	360	Cntnap2	+
L2_level1_chr6_+_84763018	chr6	84763015	84763028	+	13	Exoc6b	-
L2_level1_chr15_+_68843789	chr15	68843760	68843886	+	126	Khdrbs3	+
L2_level1_chr17_-_33822341	chr17	33822235	33822466	-	231	Hnrnpm	-
L2_level1_chr12_+_110832787	chr12	110832772	110832872	+	100	Mir434	+
L2_level1_chr10_+_127920352	chr10	127920202	127920362	+	160	Smarcc2	+
L2_level1_chr1_-_180263173	chr1	180263147	180263279	-	132	Hnrnpu	-
L2_level1_chr13_+_12487636	chr13	12487601	12487725	+	124	Heatr1	+
L2_level1_chr2_+_69708551	chr2	69708423	69708633	+	210	Ssb	+
L2_level1_chr5_+_110425516	chr5	110425491	110425587	+	96	Zfp932	+
L2_level1_chr1_+_174042010	chr1	174041981	174042140	+	159	Copa	+
L2_level1_chr2_+_20730803	chr2	20730518	20731786	+	1268	Etl4	+
L2_level1_chr11_-_102017701	chr11	102017547	102017752	-	205	Tmem101	-
L2_level1_chr2_+_179854043	chr2	179854000	179854144	+	144	Osbpl2	+
L2_level1_chr2_+_37307755	chr2	37307706	37307793	+	87	Rabgap1	+
L2_level1_chr2_-_32658388	chr2	32658300	32658420	-	120	Stxbp1	-
L2_level1_chr5_-_8078561	chr5	8078543	8078716	-	173	Adam22	-
L2_level1_chr11_+_5435677	chr11	5435668	5435681	+	13	Ccdc117	-
L2_level1_chr6_+_125063546	chr6	125063418	125063552	+	134	Chd4	+
L2_level1_chr2_-_102141138	chr2	102140379	102141410	-	1031	Trim44	-
L2_level1_chr9_+_3634930	chr9	3634662	3635136	+	474	Gucy1a2	+
L2_level1_chr14_+_67346754	chr14	67346376	67347245	+	869	Adra1a	+
L2_level1_chr14_+_57287092	chr14	57287024	57287391	+	367	Mphosph8	+
L2_level1_chr4_-_94256656	chr4	94256587	94256774	-	187	Plaa	-
L2_level1_chr12_+_110784317	chr12	110784046	110784366	+	320	Meg3	+
L2_level1_chr12_+_85022726	chr12	85022441	85022992	+	551	Rbm25	+
L2_level1_chr2_-_20801906	chr2	20801610	20802316	-	706	Arhgap21	-
L2_level1_chr9_+_89854477	chr9	89854428	89854635	+	207	Rasgrf1	+
L2_level1_chr6_+_83139651	chr6	83139423	83139710	+	287	Dctn1	+
L2_level1_chr3_+_34537275	chr3	34537197	34537462	+	265	Mir1897	+
L2_level1_chr5_+_14679037	chr5	14678195	14679990	+	1795	Pclo	+
L2_level1_chr18_-_35374687	chr18	35374240	35374771	-	531	Lrrtm2	-
L2_level1_chr16_+_94676067	chr16	94675943	94676156	+	213	Ttc3	+
L2_level1_chr16_+_27307714	chr16	27307582	27307758	+	176	Ostn	+
L2_level1_chr11_-_43561501	chr11	43561435	43561542	-	107	Ttc1	-
L2_level1_chr9_-_89633267	chr9	89633220	89633362	-	142	Ankrd34c	-
L2_level1_chr4_+_124707250	chr4	124707226	124707323	+	97	Gnl2	+
L2_level1_chr6_+_45324129	chr6	45323611	45324306	+	695	Cntnap2	+
L2_level1_chr17_-_28044697	chr17	28044443	28044734	-	291	Taf11	-
L2_level1_chr1_-_140382047	chr1	140381958	140382198	-	240	Nek7	-
L2_level1_chr1_+_87973949	chr1	87973921	87974045	+	124	Psmd1	+
L2_level1_chr14_-_55526008	chr14	55525678	55526208	-	530	Slc22a17	-
L2_level1_chr8_-_70219526	chr8	70219453	70219954	-	501	Psd3	-
L2_level1_chr19_+_5040622	chr19	5040411	5040965	+	554	B3gnt1	+
L2_level1_chr1_+_7110380	chr1	7110262	7110675	+	413	Pcmtd1	+
L2_level1_chr18_+_38607378	chr18	38607327	38607467	+	140	Ndfip1	+
L2_level1_chr18_+_34473846	chr18	34473664	34473985	+	321	Apc	+
L2_level1_chr7_-_117129814	chr7	117129516	117129894	-	378	Tmem41b	-
L2_level1_chr3_-_26032602	chr3	26032121	26032982	-	861	Nlgn1	-
L2_level1_chr5_+_89665251	chr5	89664522	89665483	+	961	Slc4a4	+
L2_level1_chr15_-_93115983	chr15	93115171	93116105	-	934	Yaf2	-
L2_level1_chr1_random_-_270349	chr1_random	270144	270422	-	278	Aida	+
